last_name,first_name,middle_initial,birth_date,gender,hire_date,initial_level,employment_type
Smith,Ryan,A,1981-08-22,M,2005-03-05,1,PT
Johnson,Ryan,B,1993-12-02,F,2005-06-19,1,PT
Williams,Ryan,O,1971-06-19,M,2012-12-12,5,FT
Jones,Ryan,G,1962-12-06,M,2001-05-22,4,PT
Brown,Ryan,L,1959-07-20,F,2000-07-07,3,PT
Davis,Ryan,F,1969-11-07,M,2021-02-18,5,PT
Miller,Ryan,T,1988-03-10,F,2018-09-28,1,PT
Hall,Ryan,L,1959-01-03,X,2002-11-26,2,FT
Allen,Ryan,O,1996-11-11,F,2005-07-06,4,FT
Young,Ryan,Q,1969-03-15,X,2014-11-19,4,FT
Hernandez,Ryan,P,1985-07-26,M,2001-09-12,4,PT
King,Ryan,Z,1982-01-12,F,2002-06-06,1,PT
Wright,Ryan,L,1964-11-30,F,2009-06-17,1,PT
Lopez,Ryan,M,1989-03-13,X,2007-01-26,4,FT
Stewart,Ryan,Y,1989-06-10,X,2021-02-01,4,PT
Price,Ryan,B,1976-09-24,F,2021-09-03,2,FT
Bennett,Ryan,I,1970-01-09,M,2003-11-12,5,PT
Wood,Ryan,G,1994-04-23,X,2000-10-23,5,PT
Henderson,Ryan,Q,1957-07-22,M,2018-07-07,3,PT
Anderson,Ryan,D,1951-05-15,F,2013-12-09,5,FT
Smith,Cameron,B,1999-03-17,M,2000-02-14,5,FT
Johnson,Cameron,S,1987-04-28,M,2005-04-18,5,PT
Williams,Cameron,W,1991-02-10,F,2015-07-13,2,FT
Jones,Cameron,S,1981-01-30,F,2021-02-05,1,FT
Brown,Cameron,Z,1984-08-18,F,2020-06-13,5,FT
Davis,Cameron,M,1988-11-19,F,2015-05-10,4,FT
Miller,Cameron,J,1975-09-06,F,2016-10-25,2,FT
Hall,Cameron,E,1977-08-27,X,2015-04-24,5,PT
Allen,Cameron,M,2000-10-14,F,2004-09-30,5,PT
Young,Cameron,K,1950-12-21,X,2002-02-12,2,PT
Hernandez,Cameron,P,1990-06-01,F,2007-11-07,4,FT
King,Cameron,Z,1988-01-08,M,2001-04-18,1,FT
Wright,Cameron,G,1977-12-14,F,2000-04-25,4,FT
Lopez,Cameron,T,1957-08-09,X,2008-04-20,2,PT
Stewart,Cameron,Y,1992-11-19,M,2009-12-19,5,FT
Price,Cameron,K,1995-03-21,X,2012-05-04,1,PT
Bennett,Cameron,V,1972-05-15,F,2002-03-31,5,PT
Wood,Cameron,Z,1968-01-28,F,2004-11-10,1,FT
Henderson,Cameron,D,1974-06-24,M,2012-01-17,4,FT
Anderson,Cameron,Y,1978-01-10,X,2006-11-06,2,FT
Smith,Charlie,V,1993-10-20,X,2006-11-23,5,FT
Johnson,Charlie,J,1952-03-12,X,2015-03-01,4,FT
Williams,Charlie,Y,1964-12-03,X,2004-09-07,4,FT
Jones,Charlie,H,1952-12-15,M,2010-03-25,1,FT
Brown,Charlie,E,1955-05-08,M,2019-10-09,2,PT
Davis,Charlie,U,1979-01-27,X,2007-07-20,4,PT
Miller,Charlie,A,1988-02-20,X,2005-04-20,5,FT
Hall,Charlie,N,1993-12-16,X,2003-09-21,3,FT
Allen,Charlie,G,1999-07-16,X,2017-11-25,1,PT
Young,Charlie,X,1991-11-17,F,2008-03-06,5,PT
Hernandez,Charlie,R,1997-05-22,F,2004-06-18,3,FT
King,Charlie,X,1989-10-30,M,2016-11-06,3,PT
Wright,Charlie,W,1964-11-01,F,2001-11-20,4,FT
Lopez,Charlie,T,1951-08-19,F,2016-06-27,2,FT
Stewart,Charlie,J,1980-12-21,X,2019-11-24,2,PT
Price,Charlie,N,1953-09-05,X,2007-01-22,4,FT
Bennett,Charlie,J,1980-04-10,F,2005-04-15,4,FT
Wood,Charlie,P,1986-06-02,M,2000-07-15,5,PT
Henderson,Charlie,V,1977-09-04,M,2019-09-04,4,PT
Anderson,Charlie,W,1992-12-29,M,2014-09-15,3,PT
Smith,Ezra,M,1991-12-13,F,2008-05-10,4,PT
Johnson,Ezra,M,1987-01-21,M,2001-03-26,4,PT
Williams,Ezra,R,1964-11-15,X,2014-05-04,3,FT
Jones,Ezra,Z,1972-05-03,X,2018-10-02,5,PT
Brown,Ezra,I,1991-07-31,F,2012-09-10,1,PT
Davis,Ezra,K,1960-11-16,X,2013-02-11,5,PT
Miller,Ezra,O,1980-07-09,M,2016-07-08,4,PT
Hall,Ezra,F,1967-11-28,F,2008-12-31,1,FT
Allen,Ezra,S,1998-06-01,F,2005-06-28,2,PT
Young,Ezra,N,1990-05-05,M,2008-06-12,1,PT
Hernandez,Ezra,X,1990-02-15,X,2014-05-02,1,PT
King,Ezra,N,1965-02-05,F,2016-03-05,4,PT
Wright,Ezra,U,1956-09-20,F,2003-11-23,4,FT
Lopez,Ezra,E,1958-11-16,F,2007-04-09,5,PT
Stewart,Ezra,U,1955-05-25,M,2001-10-31,3,PT
Price,Ezra,L,1967-02-08,M,2000-09-05,2,FT
Bennett,Ezra,P,1961-05-08,F,2021-05-14,1,FT
Wood,Ezra,I,1967-07-12,M,2020-05-14,2,PT
Henderson,Ezra,P,1951-03-16,X,2017-03-03,1,PT
Anderson,Ezra,O,1954-06-12,M,2017-08-25,5,PT
Smith,Blair,O,1985-07-08,M,2016-04-27,2,FT
Johnson,Blair,F,1991-06-01,X,2010-02-07,5,FT
Williams,Blair,T,1973-10-22,X,2003-11-06,3,FT
Jones,Blair,N,1959-12-19,F,2017-09-03,5,FT
Brown,Blair,Y,1975-06-22,X,2011-11-28,3,PT
Davis,Blair,Y,1953-11-18,M,2012-03-19,2,PT
Miller,Blair,N,1996-02-12,M,2010-05-08,4,FT
Hall,Blair,D,1953-08-30,F,2009-06-28,2,PT
Allen,Blair,P,1962-02-05,M,2001-08-10,2,PT
Young,Blair,V,1993-09-24,X,2000-01-06,5,PT
Hernandez,Blair,D,1980-12-02,M,2014-09-05,1,FT
King,Blair,J,1988-05-03,F,2008-01-15,1,FT
Wright,Blair,E,1962-12-30,M,2018-03-21,4,PT
Lopez,Blair,O,1950-10-08,X,2009-02-24,1,FT
Stewart,Blair,O,1986-07-02,F,2010-12-04,4,FT
Price,Blair,K,1975-06-06,M,2008-09-08,4,PT
Bennett,Blair,T,1960-06-19,X,2020-12-09,2,PT
Wood,Blair,M,1973-09-16,M,2013-09-03,3,PT
Henderson,Blair,S,1984-08-23,X,2013-04-23,2,FT
Anderson,Blair,E,1998-02-04,M,2004-06-16,2,PT
Smith,Casey,A,2000-06-24,X,2016-01-24,1,FT
Johnson,Casey,W,1962-05-20,X,2017-01-03,4,FT
Williams,Casey,V,1976-08-08,M,2012-02-21,5,FT
Jones,Casey,U,1960-09-07,M,2004-08-28,3,PT
Brown,Casey,W,1970-11-17,F,2006-12-14,4,PT
Davis,Casey,Y,1953-01-29,X,2006-09-12,4,FT
Miller,Casey,F,1984-02-24,X,2006-09-10,3,FT
Hall,Casey,Z,1951-08-05,M,2018-04-23,3,PT
Allen,Casey,F,1951-07-18,F,2003-06-21,3,FT
Young,Casey,H,1971-06-17,M,2009-02-04,5,FT
Hernandez,Casey,U,1965-07-23,F,2015-10-25,4,PT
King,Casey,I,1984-02-16,F,2016-04-02,1,PT
Wright,Casey,P,1953-04-21,F,2004-08-07,3,PT
Lopez,Casey,A,1959-09-14,M,2003-02-07,1,PT
Stewart,Casey,B,1964-08-06,F,2002-11-11,1,PT
Price,Casey,W,1969-09-29,X,2012-09-10,5,PT
Bennett,Casey,B,1990-04-19,X,2018-03-22,5,PT
Wood,Casey,T,1952-04-19,X,2006-06-21,2,PT
Henderson,Casey,I,1993-08-03,X,2004-07-24,2,FT
Anderson,Casey,B,1987-07-16,X,2010-01-27,2,PT
Smith,Dallas,M,1959-12-23,F,2011-11-26,2,PT
Johnson,Dallas,P,1992-08-16,F,2017-10-14,4,FT
Williams,Dallas,L,1992-11-09,M,2018-09-22,2,PT
Jones,Dallas,C,1988-06-17,M,2019-01-27,4,FT
Brown,Dallas,R,1963-10-16,X,2015-05-14,4,PT
Davis,Dallas,Z,1980-12-16,F,2001-11-28,3,PT
Miller,Dallas,D,1967-01-27,X,2013-09-27,2,PT
Hall,Dallas,X,1998-06-30,X,2019-01-17,5,FT
Allen,Dallas,P,1979-07-17,F,2019-10-08,5,PT
Young,Dallas,O,1991-04-22,F,2006-07-09,1,FT
Hernandez,Dallas,D,1963-07-14,X,2002-11-26,2,FT
King,Dallas,N,1960-06-30,F,2017-03-10,4,FT
Wright,Dallas,Z,1968-08-01,X,2009-02-10,4,FT
Lopez,Dallas,R,1977-02-24,F,2020-12-08,4,FT
Stewart,Dallas,V,1983-04-14,M,2015-07-16,2,FT
Price,Dallas,X,1966-05-09,M,2009-03-25,4,PT
Bennett,Dallas,C,1996-08-22,F,2020-10-28,4,FT
Wood,Dallas,S,1999-03-01,M,2011-04-06,2,FT
Henderson,Dallas,L,1963-08-04,X,2011-06-06,3,FT
Anderson,Dallas,R,1985-01-18,M,2007-04-14,3,PT
Smith,Dana,C,1950-12-03,X,2020-11-13,2,PT
Johnson,Dana,F,1958-10-04,M,2003-03-24,2,PT
Williams,Dana,U,1969-04-19,F,2007-03-26,5,PT
Jones,Dana,C,1968-02-17,F,2002-05-07,3,PT
Brown,Dana,T,1980-09-04,M,2009-07-17,4,FT
Davis,Dana,U,1994-09-13,F,2006-12-30,4,PT
Miller,Dana,T,1992-11-29,F,2017-02-14,2,PT
Hall,Dana,O,1993-02-10,X,2021-10-29,1,FT
Allen,Dana,M,1980-06-21,F,2020-12-12,4,FT
Young,Dana,M,1995-12-05,M,2005-07-27,3,PT
Hernandez,Dana,I,1997-05-14,X,2005-05-14,3,FT
King,Dana,R,1959-01-27,M,2002-05-24,4,PT
Wright,Dana,P,1999-12-07,M,2015-03-03,2,FT
Lopez,Dana,Q,1990-11-20,M,2014-11-19,3,PT
Stewart,Dana,M,1961-07-30,X,2013-09-18,2,PT
Price,Dana,F,1977-04-24,M,2009-11-21,4,FT
Bennett,Dana,T,1970-08-22,F,2009-09-15,5,PT
Wood,Dana,T,1960-09-16,M,2018-07-24,5,PT
Henderson,Dana,F,1977-02-19,X,2014-08-03,5,PT
Anderson,Dana,N,1956-12-30,F,2009-01-16,3,PT
Smith,Carey,M,1953-04-01,M,2005-10-13,3,PT
Johnson,Carey,O,1989-04-24,M,2013-04-18,1,PT
Williams,Carey,A,1957-06-05,F,2019-11-04,1,FT
Jones,Carey,L,1997-06-25,M,2004-08-30,4,PT
Brown,Carey,V,2000-04-02,F,2005-01-24,1,PT
Davis,Carey,K,2000-09-01,M,2017-02-06,2,FT
Miller,Carey,X,1985-02-12,X,2005-03-31,2,FT
Hall,Carey,W,2000-03-01,X,2012-05-20,3,PT
Allen,Carey,L,1967-10-23,F,2015-10-26,5,FT
Young,Carey,R,1967-09-04,M,2008-07-22,1,FT
Hernandez,Carey,X,1983-06-22,M,2007-02-24,1,PT
King,Carey,N,1957-08-16,X,2020-02-27,4,FT
Wright,Carey,S,2000-05-06,M,2013-11-30,2,FT
Lopez,Carey,J,1964-09-12,M,2017-03-18,1,PT
Stewart,Carey,X,1955-08-21,X,2011-02-17,4,PT
Price,Carey,F,1992-07-09,X,2009-06-04,3,FT
Bennett,Carey,C,1968-10-06,F,2005-10-17,4,FT
Wood,Carey,F,1968-03-16,X,2002-03-20,5,PT
Henderson,Carey,F,1987-02-21,M,2001-11-09,2,PT
Anderson,Carey,H,2000-10-02,F,2019-06-22,2,FT
Smith,Jamie,E,1953-08-20,X,2009-04-19,3,FT
Johnson,Jamie,Z,1953-12-03,M,2016-07-02,2,PT
Williams,Jamie,F,1953-12-06,X,2014-11-03,4,PT
Jones,Jamie,U,1969-02-08,X,2015-05-08,3,PT
Brown,Jamie,T,1968-11-02,F,2008-02-09,5,FT
Davis,Jamie,O,1996-11-24,F,2009-08-14,5,PT
Miller,Jamie,K,2000-11-27,F,2007-09-18,3,PT
Hall,Jamie,F,1955-04-19,F,2002-11-20,5,PT
Allen,Jamie,C,1986-08-12,F,2002-05-05,1,FT
Young,Jamie,X,1954-01-28,F,2015-06-17,3,PT
Hernandez,Jamie,W,1969-01-19,X,2012-11-12,4,FT
King,Jamie,D,1975-09-24,M,2021-06-24,5,PT
Wright,Jamie,H,1963-09-30,X,2003-07-22,5,FT
Lopez,Jamie,X,1973-04-25,F,2012-10-10,1,PT
Stewart,Jamie,T,1950-04-20,X,2010-06-07,3,PT
Price,Jamie,O,2000-06-03,F,2007-09-11,4,FT
Bennett,Jamie,S,1962-05-11,M,2003-02-26,5,PT
Wood,Jamie,B,1959-07-27,X,2015-08-10,3,PT
Henderson,Jamie,K,1998-01-01,M,2011-01-15,5,FT
Anderson,Jamie,U,1979-01-23,F,2006-02-18,5,FT
Smith,Hayden,R,1970-01-11,M,2005-06-14,4,PT
Johnson,Hayden,T,1969-01-26,M,2007-11-28,3,FT
Williams,Hayden,T,1973-10-10,F,2004-12-10,4,PT
Jones,Hayden,H,1999-01-20,X,2013-01-25,4,PT
Brown,Hayden,M,1982-04-18,F,2001-08-11,5,PT
Davis,Hayden,M,1980-05-15,F,2015-07-17,5,FT
Miller,Hayden,M,1975-10-11,X,2011-05-14,1,FT
Hall,Hayden,T,1994-06-26,X,2018-07-15,2,FT
Allen,Hayden,O,1995-09-01,M,2005-10-16,3,PT
Young,Hayden,Z,1994-11-09,F,2013-01-21,2,FT
Hernandez,Hayden,N,1989-07-01,X,2008-12-23,1,FT
King,Hayden,M,1967-04-25,F,2013-04-19,1,PT
Wright,Hayden,W,1959-08-07,M,2009-12-25,3,FT
Lopez,Hayden,O,1973-06-06,M,2012-08-01,3,FT
Stewart,Hayden,S,1952-10-11,X,2002-01-10,3,FT
Price,Hayden,O,1980-07-25,X,2011-10-26,4,FT
Bennett,Hayden,M,1986-02-14,X,2003-08-10,4,FT
Wood,Hayden,H,1954-11-08,M,2013-08-28,4,PT
Henderson,Hayden,G,1995-02-05,F,2002-12-06,4,PT
Anderson,Hayden,W,1950-01-15,F,2008-10-01,3,PT
Smith,Kai,B,1985-05-19,X,2009-10-02,2,FT
Johnson,Kai,G,1964-02-16,M,2003-03-31,5,FT
Williams,Kai,H,1962-03-15,X,2006-10-16,5,FT
Jones,Kai,L,1968-08-09,M,2010-03-06,1,PT
Brown,Kai,Q,1968-08-27,F,2021-03-04,3,PT
Davis,Kai,T,1954-09-21,M,2021-09-27,3,PT
Miller,Kai,A,1958-06-28,X,2015-04-09,4,PT
Hall,Kai,M,1967-06-19,X,2016-09-21,1,FT
Allen,Kai,D,1985-07-10,F,2019-05-03,3,PT
Young,Kai,A,1975-07-22,X,2012-01-17,3,FT
Hernandez,Kai,Q,1964-06-08,X,2003-05-19,2,PT
King,Kai,F,1962-04-30,M,2009-06-16,4,PT
Wright,Kai,Y,1964-12-01,X,2003-05-12,3,PT
Lopez,Kai,B,1962-09-01,F,2013-09-30,2,PT
Stewart,Kai,P,1961-11-15,F,2000-03-09,3,PT
Price,Kai,O,1978-03-06,X,2000-03-20,2,PT
Bennett,Kai,V,1977-10-27,M,2019-05-10,2,FT
Wood,Kai,N,1967-11-04,F,2018-07-17,5,FT
Henderson,Kai,N,1981-04-27,M,2001-03-18,2,FT
Anderson,Kai,W,1960-08-16,M,2000-02-04,2,PT
Smith,Ash,V,1995-02-28,X,2005-11-11,1,FT
Johnson,Ash,S,1956-11-03,F,2006-07-21,1,FT
Williams,Ash,M,1979-12-02,X,2005-08-16,1,FT
Jones,Ash,G,1992-02-10,X,2005-12-17,3,PT
Brown,Ash,D,1951-05-24,M,2005-03-26,2,FT
Davis,Ash,Q,1985-12-04,X,2013-01-08,5,FT
Miller,Ash,O,1982-11-09,M,2000-03-25,5,PT
Hall,Ash,U,1979-02-15,M,2010-12-30,1,PT
Allen,Ash,Z,1994-06-03,F,2007-12-06,3,FT
Young,Ash,F,1989-01-15,X,2008-07-09,4,PT
Hernandez,Ash,F,1976-10-08,X,2014-03-01,4,FT
King,Ash,P,1994-08-11,F,2014-12-23,1,PT
Wright,Ash,V,1977-04-04,F,2021-05-12,5,FT
Lopez,Ash,H,1997-04-12,F,2015-06-26,3,FT
Stewart,Ash,L,1960-03-14,F,2004-06-30,2,PT
Price,Ash,N,2000-01-28,M,2016-09-10,3,FT
Bennett,Ash,P,1979-01-12,X,2010-05-06,5,FT
Wood,Ash,D,1950-09-26,M,2018-02-21,4,FT
Henderson,Ash,P,1970-03-05,M,2015-04-02,1,FT
Anderson,Ash,G,1989-09-08,M,2013-06-25,2,PT
Smith,Riley,S,1961-08-07,X,2011-09-05,4,FT
Johnson,Riley,S,1969-01-23,M,2015-07-01,4,PT
Williams,Riley,X,1983-01-19,X,2006-03-09,1,PT
Jones,Riley,X,1992-08-17,M,2020-01-29,1,FT
Brown,Riley,V,1968-10-06,F,2003-07-24,4,FT
Davis,Riley,V,1969-11-20,F,2011-01-25,4,PT
Miller,Riley,C,1952-08-28,M,2004-09-28,2,FT
Hall,Riley,T,1964-02-09,M,2013-10-23,4,PT
Allen,Riley,K,1975-07-18,M,2018-06-22,4,FT
Young,Riley,G,1995-02-26,M,2018-11-06,2,FT
Hernandez,Riley,N,1978-04-12,M,2011-10-06,2,FT
King,Riley,C,1992-10-20,X,2005-12-16,5,FT
Wright,Riley,C,1951-03-05,X,2006-04-28,4,PT
Lopez,Riley,Z,1972-01-29,X,2002-12-03,3,FT
Stewart,Riley,J,1976-07-27,X,2004-07-21,2,FT
Price,Riley,S,1978-04-16,M,2006-07-02,4,FT
Bennett,Riley,T,1974-12-14,X,2009-02-23,4,FT
Wood,Riley,P,1956-09-16,X,2016-01-22,4,FT
Henderson,Riley,N,1959-01-07,X,2009-07-24,3,PT
Anderson,Riley,Y,1984-07-14,M,2003-06-06,5,FT
Smith,Rowan,X,1981-12-27,M,2013-11-15,3,PT
Johnson,Rowan,H,1952-07-22,M,2001-03-17,1,PT
Williams,Rowan,K,1978-07-11,F,2003-09-19,4,PT
Jones,Rowan,G,1952-06-13,M,2005-07-21,4,FT
Brown,Rowan,U,1974-07-25,M,2004-06-20,2,PT
Davis,Rowan,Q,1956-08-28,F,2014-06-01,1,PT
Miller,Rowan,A,1998-07-16,M,2015-04-23,5,PT
Hall,Rowan,O,1980-06-27,F,2005-08-04,5,FT
Allen,Rowan,G,2000-12-10,F,2006-03-22,1,PT
Young,Rowan,N,1993-06-09,F,2002-03-18,4,FT
Hernandez,Rowan,H,1975-05-07,F,2015-07-14,4,PT
King,Rowan,G,1981-02-16,X,2011-11-01,5,FT
Wright,Rowan,X,1976-09-24,F,2014-04-27,3,FT
Lopez,Rowan,L,1997-12-05,M,2003-08-25,5,PT
Stewart,Rowan,Y,1969-10-09,M,2000-02-29,5,PT
Price,Rowan,O,1964-05-26,M,2020-03-29,5,FT
Bennett,Rowan,N,1990-08-17,F,2021-05-09,4,FT
Wood,Rowan,L,1993-06-07,X,2010-12-08,5,FT
Henderson,Rowan,E,1985-06-12,X,2000-02-23,2,FT
Anderson,Rowan,J,1953-09-02,F,2009-02-08,5,PT
Smith,Sawyer,V,1972-12-05,X,2017-08-31,1,FT
Johnson,Sawyer,L,1985-12-03,X,2006-04-13,5,FT
Williams,Sawyer,A,1972-02-08,F,2021-12-05,1,FT
Jones,Sawyer,T,1974-07-24,M,2007-07-31,4,PT
Brown,Sawyer,J,1988-11-02,F,2012-01-10,5,PT
Davis,Sawyer,I,1954-04-11,F,2008-10-31,3,FT
Miller,Sawyer,J,2000-06-22,X,2012-07-30,1,PT
Hall,Sawyer,V,1960-09-17,F,2015-01-15,2,PT
Allen,Sawyer,N,1979-11-29,X,2002-06-28,3,PT
Young,Sawyer,S,1971-02-11,X,2007-12-16,1,FT
Hernandez,Sawyer,L,1983-08-10,M,2010-09-21,2,FT
King,Sawyer,U,1968-12-28,F,2000-02-09,3,PT
Wright,Sawyer,V,1970-06-01,F,2003-07-15,4,PT
Lopez,Sawyer,U,1971-08-03,M,2013-12-29,1,PT
Stewart,Sawyer,B,1972-12-10,F,2016-02-11,3,FT
Price,Sawyer,L,2000-04-12,X,2011-03-08,3,PT
Bennett,Sawyer,P,1969-02-27,F,2006-05-30,2,PT
Wood,Sawyer,E,1969-07-14,M,2018-03-23,5,PT
Henderson,Sawyer,L,1998-06-18,X,2000-05-28,4,FT
Anderson,Sawyer,O,1992-08-02,X,2004-12-16,5,PT
